mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
14.095137,20.034016,72.0821,357.96255,0.07983756,0.12785621,0.06463562,0.037585873,0.14622268,0.058579173,0.31246045,1.592024,2.8132143,32.124733,0.0068323445,0.019462818,0.01619932,0.011544641,0.013765233,0.0033337378,12.971239,20.110947,120.13908,965.8782,0.12426248,0.12274068,0.4581669,0.11951054,0.25444195,0.082471505
13.806721,19.833069,66.32203,198.72597,0.082014106,0.12292843,0.058467712,0.044174027,0.15064345,0.058805875,0.40157184,1.5054787,2.8509965,5.186416,0.009309658,0.017450377,0.0025760252,0.010241734,0.011973925,0.002742158,9.883128,18.49036,93.180855,630.31934,0.12552252,0.065813325,0.49491605,0.06917854,0.26194134,0.08141186
13.842628,22.752615,61.47111,116.03951,0.08226424,0.109394975,0.05138,0.049786657,0.15263185,0.05672891,0.39516434,1.4576209,2.8182132,5.4587436,0.008075726,0.014667782,-0.0013245399,0.010203146,0.008810216,0.0026553113,10.253095,17.410479,94.78543,747.1898,0.12627172,0.10836815,0.5075887,0.066444516,0.2751017,0.08012008
14.014367,19.482122,74.40787,280.59952,0.07766546,0.12078016,0.055296563,0.025806893,0.14004631,0.057401568,0.28812087,1.4420842,2.7801113,25.201433,0.00710167,0.016813055,0.013126323,0.011239995,0.010268594,0.0028563305,10.514651,19.582876,112.88208,915.5258,0.12495672,0.10008875,0.46462613,0.10470366,0.25904644,0.085699365
13.932304,20.54348,73.79017,326.3572,0.08956872,0.118471995,0.05412263,0.045216076,0.16292222,0.059773102,0.3174899,1.489522,2.380757,19.373976,0.007940306,0.017692363,0.016161704,0.010424791,0.014553281,0.0030374974,13.60379,23.968962,109.684235,825.08606,0.1281456,0.1670677,0.38361007,0.064140365,0.28327668,0.0823479
14.62089,21.23779,81.61639,399.01294,0.08335397,0.11544373,0.05622805,0.029629445,0.15819171,0.05810933,0.3097204,1.6646831,2.241216,41.082035,0.006483212,0.020927021,0.016050057,0.009839167,0.014732547,0.003278055,13.453662,23.289173,122.91513,906.1921,0.12841552,0.17017394,0.42729813,0.11005042,0.27521566,0.08357569
14.150302,20.30952,75.248276,390.26047,0.086108714,0.10886184,0.06746468,0.039661527,0.16167429,0.058054708,0.381602,1.3799495,2.6878784,30.853378,0.0076739276,0.020810517,0.017277474,0.010682593,0.015473596,0.0032313557,12.919848,21.860018,109.21252,823.43274,0.12943898,0.14888501,0.39980835,0.10289541,0.26916757,0.081134334
13.824409,19.45588,74.60307,353.9405,0.08228178,0.11839297,0.051780686,0.025929036,0.1473861,0.05888082,0.32908517,1.5229973,2.7315598,22.947834,0.007731594,0.019447206,0.01590304,0.011639119,0.013858413,0.0034782432,11.386374,19.656458,106.318474,758.907,0.12425189,0.11565774,0.4161233,0.109909005,0.2772142,0.0849045
14.572305,20.298553,77.630875,409.78067,0.08288987,0.12091699,0.06529684,0.0290628,0.15183447,0.05887779,0.3052452,1.4922493,2.6443908,37.039677,0.006635919,0.021614302,0.021414993,0.011518057,0.014464398,0.003813856,13.119715,22.865992,109.90972,914.08966,0.12404694,0.14288497,0.4296913,0.10817242,0.27665,0.081365794
12.84338,21.283548,65.10339,212.70772,0.07965215,0.13532925,0.05270492,0.044993553,0.15653767,0.057979308,0.38614824,1.5486783,2.165796,12.004934,0.0072561703,0.017176047,0.0002487992,0.010546774,0.012942412,0.0029576754,10.75994,19.668406,97.88508,914.63654,0.12152813,0.09585727,0.48384282,0.07987634,0.24074557,0.0813623
